,PERSON_AGE
25.0,1372
26.0,1354
30.0,1332
27.0,1325
28.0,1313
31.0,1275
29.0,1255
24.0,1236
33.0,1215
23.0,1212
32.0,1193
21.0,1119
22.0,1117
35.0,1050
34.0,1022
36.0,1018
20.0,1001
37.0,958
38.0,890
40.0,863
39.0,860
19.0,843
42.0,763
41.0,706
43.0,691
18.0,671
44.0,637
45.0,629
51.0,592
52.0,591
47.0,587
50.0,586
56.0,581
53.0,575
46.0,568
49.0,563
48.0,545
54.0,543
57.0,538
55.0,527
58.0,522
59.0,475
60.0,464
17.0,463
0.0,463
61.0,405
62.0,394
64.0,378
63.0,364
16.0,331
65.0,291
15.0,281
66.0,278
67.0,251
14.0,234
68.0,221
69.0,210
12.0,209
70.0,202
9.0,199
11.0,187
10.0,186
8.0,180
71.0,175
3.0,172
4.0,170
5.0,168
13.0,166
7.0,156
73.0,150
2.0,147
6.0,146
72.0,141
74.0,139
1.0,138
75.0,102
76.0,85
77.0,79
78.0,78
80.0,74
79.0,64
83.0,55
81.0,49
82.0,46
84.0,42
85.0,37
86.0,36
87.0,23
90.0,17
92.0,15
88.0,14
91.0,13
89.0,12
93.0,6
95.0,6
999.0,4
94.0,4
121.0,3
99.0,3
9999.0,2
120.0,2
-594.0,2
-593.0,2
-951.0,1
-592.0,1
-797.0,1
97.0,1
-943.0,1
-959.0,1
-956.0,1
4030.0,1
5210.0,1
4043.0,1
1055.0,1
112.0,1
1981.0,1
-966.0,1
-967.0,1
848.0,1
100.0,1
-964.0,1
-971.0,1
-961.0,1
1050.0,1
3035.0,1
